Household and Garden,Small Waste and Accidental Fires,Agriculture,NRMM Construction,NRMM Industry,C&D Dust,Domestic Gas,Commercial Gas,Domestic Other Fuels,Commercial Other Fuels,Resuspension,Motorcycle_Exhaust,Motorcycle_Brake,Motorcycle_Tyre,Taxi_Exhaust,Taxi_Brake,Taxi_Tyre,Petrol Car_Exhaust,Petrol Car_Brake,Petrol Car_Tyre,Diesel Car_Exhaust,Diesel Car_Brake,Diesel Car_Tyre,Electric Car_Brake,Electric Car_Tyre,Petrol LGV_Exhaust,Petrol LGV_Brake,Petrol LGV_Tyre,Diesel LGV_Exhaust,Diesel LGV_Brake,Diesel LGV_Tyre,Electric LGV_Brake,Electric LGV_Tyre,TfL Bus_Exhaust,TfL Bus_Brake,TfL Bus_Tyre,Non-TfL Bus and Coach_Exhaust,Non-TfL Bus and Coach_Brake,Non-TfL Bus and Coach_Tyre,Artic HGV_Exhaust,Artic HGV_Brake,Artic HGV_Tyre,Rigid HGV_Exhaust,Rigid HGV_Brake,Rigid HGV_Tyre,conct
0.31,0.13933867179823145,0.25351469490411277,0.0,0.3873440419413415,0.0,0.11404084105222409,0.1178955120938794,0.15594794936362594,0.26130104180382635,0.1864780819201991,0.19266575818165754,0.07066927351263912,0.17393815249162278,0.6367927117634207,0.09093744226162345,0.32843908100220304,0.7261212090315303,0.16224885617846585,0.576282079828053,0.946856798833166,0.25816845199241995,0.2390108076899367,0.04963403625979758,0.045068771266596655,0.2050901811720561,0.3064799948953341,0.20879629683639483,0.20089425637418326,0.2250209109300709,0.8423359751761937,0.04420107872533915,0.03945611126897939,0.008660981831165784,0.012381205582369208,0.01236204449510274,0.40117840276498745,0.11458087519362942,0.38387894428841385,0.1345957142094913,0.1655341233036647,0.14440055963875043,0.178896514673468,0.23880584585466635,0.9680507919246263,0.32822574920619596
0.049999999999999996,0.018178696083173213,0.6100814682620683,0.0,0.011400306339708762,0.0,0.025941831249789504,0.14693194107711427,0.024905749797109238,0.2613010418038264,0.1864780819201991,0.15986418338369532,0.039060348036730544,0.14103403996377847,0.6195132686179219,0.0695185702275728,0.2962227277549506,0.668201213912475,0.11884571101936325,0.5142820643828021,0.8869562466568718,0.21017574270252048,0.9773857825100337,0.013085779325639457,0.01188216876389907,0.2050901811720561,0.25838609697827136,0.20879629683639483,0.20089425637418326,0.18143112291295246,0.7699671640555164,0.011653193562880615,0.010402228070338755,0.0022841343192083387,0.003265257581086135,0.003260204285989579,0.3558278617116329,0.08391572087429637,0.34274070414752206,0.1345957142094913,0.1655341233036647,0.14440055963875043,0.178896514673468,0.20575048878656857,0.8984220526543103,0.3920398003499064
0.18,0.1380723824289123,0.5236149773250907,0.0,0.0943897189638048,0.0,0.009117671964131513,0.18174521596418905,0.09220685811719177,0.26130104180382635,0.1864780819201991,0.2638670669767836,0.14774062884890005,0.24277191204488746,0.6692606519452888,0.149326476109433,0.3733445046153149,0.8476547280682869,0.2999448311725628,0.690180277514928,0.2283642663043271,0.39306715029112305,0.2390108076899367,0.18475362895825181,0.18788307920024785,0.2050901811720561,0.43922417502927175,0.20879629683639483,0.20089425637418326,0.36109479884165474,0.9370033946215868,0.18279766087611726,0.1824090370879377,0.03974327593355492,0.05945021057909939,0.06702657337096084,0.4726271595824053,0.24733566065575144,0.4925235185916372,0.1345957142094913,0.1655341233036647,0.14440055963875043,0.178896514673468,0.31173937990766193,0.18940273173505723,0.3602231383593959
0.01,0.0036096887521078467,0.6356929441055782,0.0,0.0,0.0,0.015622853467509027,0.19243366319881477,0.08933047246026814,0.2612988860831443,0.1864780819201991,0.15404518241175102,0.03559821653176003,0.1359180744423203,0.6192296380202975,0.07116737500684893,0.295245300750867,0.6667657031798421,0.12364210907064153,0.5118416272141616,0.8822262362348423,0.22851771368125973,0.9807625068495679,0.002724368686043777,0.002473785297542654,0.2050901811720561,0.2819402976803521,0.20879629683639483,0.20089425637418326,0.19464426869369755,0.7718154922319601,0.0024261664620191825,0.002165718499255042,0.00047536892607430355,0.000679558105065765,0.0006785064245919044,0.3529147712182035,0.08619248941849962,0.34088861463861364,0.1345957142094913,0.1655341233036647,0.14440055963875043,0.178896514673468,0.2178090705556629,0.9028293167364042,0.29617023367590933
0.04,0.01664566787534977,0.7011619325423358,0.0,0.24144946361737685,0.0,0.02590607978073488,0.156890313485948,0.03984779474395075,0.4835033187586183,0.1864780819201991,0.21755196217591563,0.10460710971939358,0.19895099377257788,0.6433672104850874,0.12017288307031618,0.3377137591073207,0.8186879201144719,0.2783285661753807,0.6630279107937855,0.9747017072170823,0.3800045991021081,0.2390108076899367,0.1545796438119086,0.16258690127324593,0.2050901811720561,0.39337653944006173,0.20879629683639483,0.20089425637418326,0.3070541535798278,0.8751971890162685,0.11314000150342796,0.1158843423801006,0.006144808106767503,0.00877856244631556,0.009504485082632895,0.37436110239316017,0.1121833219232241,0.36427316165933304,0.1345957142094913,0.1655341233036647,0.14440055963875043,0.178896514673468,0.47302636208379634,0.18940273173505723,0.3679080789574436
0.04,0.014438755008431387,0.6750883270264251,0.0,0.0,0.0,0.010642904851431347,0.10053740069935724,0.051889081432294294,1.0,0.1864780819201991,0.1528917212605133,0.11157099438810407,0.1474239653001851,0.354697737307281,0.16776217823632622,0.25789165895315636,0.4074652798634793,0.16215975709930597,0.34138950633528836,0.48474173658085196,0.22431416385794767,0.5854179951293699,0.08684066852861005,0.08185178632410113,0.2050901811720561,0.2436803918520146,0.6650166289976239,0.6433869099634386,0.1922940347312475,0.4618003825167783,0.07654130210465047,0.07091569909087678,0.0008703269629664821,0.001244165761160199,0.00124224029690997,0.18741902716440664,0.0560161403365403,0.18038847178141615,0.1345957142094913,0.1655341233036647,0.14440055963875043,0.7578778023142676,0.37800468589922304,0.6694739007212778,0.23254591532280555
0.04,0.014438755008431387,0.6431087375993613,0.0,0.0,0.0,0.0019481878487841845,0.0973282710282841,0.0868072993548434,0.24131274677092948,0.2144661726628851,0.028117914652547746,0.014984607831721888,0.02647589737870574,0.06706685915442027,0.01584662955970754,0.039001518101261415,0.08370677896636691,0.0307360008359242,0.0698433271758931,0.10689654419031112,0.04839099228768435,0.1263590245913111,0.009972183026521593,0.00905495643147949,0.2553911144029716,0.062371525408032515,0.1646963050602601,0.15170287565568485,0.04575647937806337,0.11163319883740475,0.008879732136312699,0.007926496576841177,0.0017422685402652485,0.002490639675411349,0.002486785174825565,0.0653230301838853,0.025738787793920203,0.06169922846903608,0.1345957142094913,0.3921689404106376,0.14440055963875043,0.15748175733994146,0.041100020778358906,0.11760810221531065,0.14209279364771676
0.049999999999999996,0.018296641314575347,0.7042902780262701,0.0,0.02172343718375962,0.0,0.0012895522891564484,0.09732907398833479,0.06194630970457278,0.24131274677092948,0.1864780819201991,0.25940892486029055,0.1109813839502656,0.24094268167143015,0.696964957711714,0.1620435910603971,0.4107159482357196,0.8507392656030535,0.28543555415698774,0.7059893938385646,0.2283642663043271,0.5032486576167823,0.2390108076899367,0.03312625841178928,0.03020094866916712,0.2050901811720561,0.6823035955579383,0.20879629683639483,0.20089425637418326,0.4786143259653362,0.20925794074360957,0.02928933703094422,0.026248750247036753,0.0033711473544735613,0.004819184390158118,0.004811726246277142,0.6719693631469978,0.23867984328369216,0.6288278491510734,0.1345957142094913,0.1655341233036647,0.14440055963875043,0.178896514673468,0.46221409604394753,0.18940273173505723,0.47199157251681934
0.03,0.010884910694859995,0.1573487327390083,0.0,0.008146287321540326,0.0,0.012478656104728647,0.08156990870889047,0.35870219240298185,0.3296691376883366,0.1864780819201991,0.3399740554564438,0.1853541853395622,0.3164346628568086,0.6889748134655775,0.17757562582911257,0.40293541088587,0.9520095568739144,0.43744072817703716,0.8137604925416984,0.2283642663043271,0.5555434149179043,0.2390108076899367,0.289002273117545,0.2727685436976611,0.2050901811720561,0.6697775565868831,0.20879629683639483,0.20089425637418326,0.5703283403540107,0.20925794074360957,0.339667899825727,0.31346636856163046,0.036929484470917325,0.05078823566180835,0.054546665777604045,0.638889666685307,0.28934223562166217,0.6215580203451677,0.1345957142094913,0.1655341233036647,0.14440055963875043,0.178896514673468,0.49919050701911083,0.18940273173505723,0.6333235099468335
0.72,0.3060274510627549,0.20714242629885404,0.0,0.2803823673195696,0.0,0.2833817001653733,0.10928777289741708,0.1773200242331943,0.1377953826431763,0.4717209099674425,0.11432777184690657,0.07056935480220494,0.1087005654799454,0.2221393112900349,0.05738898718795985,0.1306346696988831,0.27993709362299996,0.11310048639782586,0.237741998263995,0.383295752167775,0.15478047523938282,0.4079640015594259,0.0624130961841914,0.056672432224574,0.7282993969940466,0.17892468542651913,0.4759961108129788,0.46610887760373515,0.1409925630334468,0.33021543947706317,0.05557876750847714,0.04961240988333809,0.010751612471066851,0.015369842235118227,0.015346055949818246,0.19976144233541804,0.09012042834137295,0.19025957695925683,0.1345957142094913,0.6368082686462595,0.14440055963875043,0.38001467418930385,0.11179944175735555,0.2912102220084077,0.137714976285912
